City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saint George,US,2021-10-21 23:36:50,37.1041,-113.5841,75.43,26,1,1.99
68,Alekseyevsk,RU,2021-10-21 23:36:51,57.8406,108.3492,27.97,93,87,4.14
69,Lewistown,US,2021-10-21 23:36:51,40.5992,-77.5714,66.76,90,20,2.64
70,Rikitea,PF,2021-10-21 23:35:53,-23.1203,-134.9692,74.48,80,72,23.22
71,Padang,ID,2021-10-21 23:36:52,-0.9492,100.3543,73.45,83,98,2.98
72,Vaini,TO,2021-10-21 23:36:54,-21.2,-175.2,78.96,83,40,11.5
73,Khatanga,RU,2021-10-21 23:36:56,71.9667,102.5,-2.38,100,91,2.55
74,Dudinka,RU,2021-10-21 23:36:57,69.4058,86.1778,17.2,97,90,4.92
75,Najran,SA,2021-10-21 23:36:57,17.4924,44.1277,70.45,29,45,2.24
76,Rio Gallegos,AR,2021-10-21 23:35:09,-51.6226,-69.2181,51.85,40,20,23.02
77,Bosaso,SO,2021-10-21 23:36:59,11.2842,49.1816,78.93,51,79,1.95
78,Renqiu,CN,2021-10-21 23:37:00,38.6989,116.0936,48.63,45,0,3.85
79,College,US,2021-10-21 23:37:04,64.8569,-147.8028,34.66,77,75,0.0
80,Hilo,US,2021-10-21 23:36:31,19.7297,-155.09,83.28,64,20,4.61
81,Qaanaaq,GL,2021-10-21 23:37:06,77.484,-69.3632,0.03,74,13,8.19
82,Bluff,NZ,2021-10-21 23:37:07,-46.6,168.3333,52.12,63,2,5.73
83,Bubaque,GW,2021-10-21 23:37:08,11.2833,-15.8333,82.65,76,100,8.66
84,Kawalu,ID,2021-10-21 23:37:09,-7.3817,108.2082,75.42,85,97,1.28
85,Aitape,PG,2021-10-21 23:37:09,-3.1374,142.3475,84.36,68,98,2.8
86,Iqaluit,CA,2021-10-21 23:37:10,63.7506,-68.5145,29.93,92,90,4.0
87,Bud,US,2021-10-21 23:33:26,39.447,-86.1758,54.43,75,84,11.43
88,San Patricio,US,2021-10-21 23:37:13,28.017,-97.5169,84.61,60,41,8.37
89,Winder,US,2021-10-21 23:35:46,33.9926,-83.7202,70.95,88,40,3.44
90,Aranos,NA,2021-10-21 23:37:14,-24.1333,19.1167,61.05,31,11,14.94
91,Beruwala,LK,2021-10-21 23:37:17,6.4788,79.9828,78.44,83,42,1.21
92,Cockburn Town,TC,2021-10-21 23:35:18,21.4612,-71.1419,80.56,83,90,8.05
93,Beausejour,CA,2021-10-21 23:37:19,50.0622,-96.5167,42.57,62,55,5.64
94,Taltal,CL,2021-10-21 23:37:20,-25.4,-70.4833,59.97,73,25,4.99
95,Mataura,NZ,2021-10-21 23:37:20,-46.1927,168.8643,64.38,42,4,3.0
96,Kloulklubed,PW,2021-10-21 23:37:21,7.0419,134.2556,82.9,73,11,8.03
97,Lakes Entrance,AU,2021-10-21 23:37:22,-37.8811,147.981,74.16,59,37,5.53
98,Puerto Narino,CO,2021-10-21 23:37:23,-3.7703,-70.3831,80.55,82,73,0.76
99,Kaitangata,NZ,2021-10-21 23:37:24,-46.2817,169.8464,59.13,55,11,7.16
100,Barrow,US,2021-10-21 23:37:26,71.2906,-156.7887,28.42,86,90,4.61
101,Mabaruma,GY,2021-10-21 23:37:26,8.2,-59.7833,75.24,97,100,6.29
102,Saint-Philippe,RE,2021-10-21 23:36:28,-21.3585,55.7679,71.15,77,10,9.31
103,Hofn,IS,2021-10-21 23:37:30,64.2539,-15.2082,32.04,65,16,18.34
104,South Bend,US,2021-10-21 23:37:31,41.6834,-86.25,54.1,95,90,1.01
105,Avarua,CK,2021-10-21 23:37:10,-21.2078,-159.775,77.05,61,30,9.22
106,Pisco,PE,2021-10-21 23:37:32,-13.7,-76.2167,62.65,77,0,18.41
107,Bayir,TR,2021-10-21 23:37:32,37.2687,28.2167,46.92,77,0,1.61
108,Koulikoro,ML,2021-10-21 23:37:33,14.0,-7.75,79.81,68,67,4.61
109,Merauke,ID,2021-10-21 23:37:35,-8.4667,140.3333,83.66,69,67,7.02
110,Aklavik,CA,2021-10-21 23:37:35,68.2191,-135.0107,36.43,87,44,9.91
111,Quelimane,MZ,2021-10-21 23:37:37,-17.8786,36.8883,67.95,94,20,2.3
112,Vardo,NO,2021-10-21 23:37:38,70.3705,31.1107,35.94,52,100,27.87
113,Luchegorsk,RU,2021-10-21 23:37:40,46.4764,134.2569,38.26,57,90,6.58
114,Chokurdakh,RU,2021-10-21 23:37:41,70.6333,147.9167,-14.6,96,85,3.89
115,Nikolskoye,RU,2021-10-21 23:37:42,59.7035,30.7861,53.02,84,96,16.06
116,Aransas Pass,US,2021-10-21 23:37:43,27.9095,-97.15,82.98,75,1,5.01
117,Sayyan,YE,2021-10-21 23:37:44,15.1718,44.3244,54.66,38,41,9.15
118,Kupino,RU,2021-10-21 23:37:49,54.3663,77.2981,37.44,68,86,17.27
119,Alice Town,BS,2021-10-21 23:37:49,25.7167,-79.3,80.35,74,41,15.93
120,Kavaratti,IN,2021-10-21 23:37:50,10.5669,72.642,81.21,79,96,8.81
