City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lagoa,PT,39.05,-27.9833,70.16,90,100,23.76,overcast clouds
80,Ribeira Grande,PT,38.5167,-28.7,71.33,90,100,20.11,overcast clouds
81,Port-Gentil,GA,-0.7193,8.7815,82.36,78,40,14.97,heavy intensity rain
82,Codrington,AU,-38.2667,141.9667,41.77,94,2,8.08,clear sky
83,Baracoa,CU,20.3467,-74.4958,88.88,57,76,7.07,broken clouds
84,Amot,NO,59.5714,7.9877,46.51,93,100,6.24,light rain
85,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,100,90,6.91,light snow
86,Yellowknife,CA,62.456,-114.3525,29.41,94,40,8.01,scattered clouds
87,Hofn,IS,64.2539,-15.2082,43.02,86,100,15.66,light rain
88,Camacha,PT,33.0833,-16.3333,74.53,85,68,15.26,broken clouds
89,Ryki,PL,51.6257,21.9327,55.18,55,53,12.84,broken clouds
90,Tuatapere,NZ,-46.1333,167.6833,48.27,84,53,8.25,broken clouds
91,Aklavik,CA,68.2191,-135.0107,17.6,93,90,6.91,fog
92,Freetown,SL,8.484,-13.2299,83.91,70,75,8.05,broken clouds
93,Lesosibirsk,RU,58.2358,92.4828,25.23,59,73,9.42,broken clouds
94,Gazojak,TM,41.1875,61.4036,51.98,38,100,9.84,overcast clouds
95,Luderitz,NA,-26.6481,15.1594,61.0,86,0,6.38,clear sky
96,Lachhmangarh,IN,27.8214,75.0251,70.77,27,0,1.23,clear sky
97,Alice Springs,AU,-23.7,133.8833,60.35,67,75,9.22,broken clouds
98,Avarua,CK,-21.2078,-159.775,73.45,68,20,13.8,few clouds
99,Margate,GB,51.3813,1.3862,55.11,79,95,16.44,overcast clouds
100,Astoria,US,46.1879,-123.8313,51.71,73,0,3.0,clear sky
101,Sobolevo,RU,54.4299,31.8996,45.63,81,32,10.04,scattered clouds
102,Krasne,UA,49.9145,24.6134,51.19,56,94,12.93,overcast clouds
103,Coihaique,CL,-45.5752,-72.0662,57.81,30,20,3.44,few clouds
104,Vardo,NO,70.3705,31.1107,39.13,75,70,9.84,broken clouds
105,Cherskiy,RU,68.75,161.3,-3.93,99,100,5.01,overcast clouds
106,Idil,TR,37.3411,41.8895,61.72,60,98,8.37,overcast clouds
107,Cap Malheureux,MU,-19.9842,57.6142,73.89,74,5,2.77,clear sky
108,Seafield,GB,55.9667,-3.15,47.35,85,0,4.0,clear sky
109,Isangel,VU,-19.55,169.2667,74.17,83,7,4.9,clear sky
110,Tura,IN,25.5198,90.2201,64.76,67,0,2.24,clear sky
111,Hambantota,LK,6.1241,81.1185,79.0,84,96,2.84,overcast clouds
112,Nurota,UZ,40.5614,65.6886,44.69,47,100,4.81,overcast clouds
113,Chimore,BO,-16.9833,-65.1333,95.76,36,33,2.48,light rain
114,Nemuro,JP,43.3236,145.575,48.34,75,36,11.7,scattered clouds
115,Price,US,39.5994,-110.8107,54.41,41,99,3.31,overcast clouds
116,Pathanamthitta,IN,9.2667,76.7833,75.15,98,100,1.39,light rain
117,Tucurui,BR,-3.7661,-49.6725,94.95,38,35,1.66,scattered clouds
118,Carnarvon,AU,-24.8667,113.6333,68.07,68,0,18.41,clear sky
119,San Vicente,AR,-26.6167,-54.1333,79.97,55,100,2.68,moderate rain
120,Kozhva,RU,65.1073,57.0459,11.44,96,36,2.62,scattered clouds
121,Novyy Urgal,RU,51.0736,132.5642,25.32,78,23,2.06,few clouds
122,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,93.88,33,55,2.8,broken clouds
123,Thompson,CA,55.7435,-97.8558,35.76,80,20,10.36,few clouds
124,Mar Del Plata,AR,-38.0023,-57.5575,84.22,58,40,9.22,scattered clouds
125,Marquette,US,46.5333,-87.6335,50.83,80,7,5.57,clear sky
126,Bay-Khaak,RU,51.1667,94.5,33.69,66,99,2.95,overcast clouds
127,Kindersley,CA,51.4668,-109.1682,32.02,55,20,13.8,few clouds
128,Hasaki,JP,35.7333,140.8333,48.49,60,48,6.04,scattered clouds
129,Dikson,RU,73.5069,80.5464,7.11,92,100,17.05,overcast clouds
130,Lebu,CL,-37.6167,-73.65,55.62,68,92,18.01,overcast clouds
131,Deputatskiy,RU,69.3,139.9,-7.76,98,98,5.61,overcast clouds
132,Ocosingo,MX,17.0667,-92.25,75.11,43,45,3.2,scattered clouds
133,Okhotsk,RU,59.3833,143.3,11.39,70,0,19.86,clear sky
134,Bonfim,BR,3.0833,-59.95,94.41,39,16,2.8,few clouds
135,Kavieng,PG,-2.5744,150.7967,82.94,75,43,13.02,scattered clouds
136,Half Moon Bay,US,37.4636,-122.4286,66.06,90,90,5.75,overcast clouds
137,Itarema,BR,-2.9248,-39.9167,86.27,59,67,14.07,broken clouds
138,Conway,US,35.0887,-92.4421,63.09,52,1,7.94,clear sky
139,Codigoro,IT,44.8311,12.1142,56.08,78,91,2.33,overcast clouds
140,Ambilobe,MG,-13.2,49.05,76.62,78,41,1.83,light rain
141,Hithadhoo,MV,-0.6,73.0833,82.62,76,64,16.13,broken clouds
142,Sao Jose Do Calcado,BR,-21.0253,-41.6544,70.9,88,100,6.11,overcast clouds
143,Lalmohan,BD,22.3384,90.7419,77.11,71,50,10.6,scattered clouds
144,Hirado,JP,33.3597,129.5531,61.36,74,38,8.08,scattered clouds
145,Lavrentiya,RU,65.5833,-171.0,10.62,78,55,6.13,broken clouds
146,Fushun,CN,41.8558,123.9233,48.61,80,80,5.77,broken clouds
147,Vostochnyy,RU,55.8167,37.8667,47.1,85,57,9.22,broken clouds
148,Carupano,VE,10.6678,-63.2585,84.36,66,71,13.76,broken clouds
149,Barrow,US,71.2906,-156.7887,16.74,95,99,3.76,overcast clouds
150,Bubaque,GW,11.2833,-15.8333,78.69,79,100,6.55,overcast clouds
151,Puerto Ayora,EC,-0.7393,-90.3518,78.76,79,71,8.86,broken clouds
152,Nanortalik,GL,60.1432,-45.2371,35.01,73,28,3.15,scattered clouds
153,Kijang,KR,35.2442,129.2139,51.53,67,4,5.03,clear sky
154,La Ronge,CA,55.1001,-105.2842,35.82,86,90,5.75,light rain
155,Khuzdar,PK,27.7384,66.6434,64.67,20,0,10.31,clear sky
156,Arima,TT,10.6333,-61.2833,87.75,65,75,8.01,broken clouds
157,Provideniya,RU,64.3833,-173.3,12.63,85,99,11.3,overcast clouds
158,Namibe,AO,-15.1961,12.1522,67.95,77,81,8.86,broken clouds
159,Freeport,US,40.6576,-73.5832,67.32,82,82,1.01,broken clouds
160,Shibganj,BD,24.6829,88.1598,71.35,50,0,6.89,clear sky
161,Kalmunai,LK,7.4167,81.8167,79.0,84,78,7.11,broken clouds
162,Stephenville,US,32.2207,-98.2023,75.54,23,0,3.69,clear sky
163,Cahors,FR,44.4167,1.3333,59.95,81,100,1.32,light rain
164,Plettenberg Bay,ZA,-34.0527,23.3716,59.88,93,2,1.43,clear sky
165,Mariental,NA,-24.6333,17.9667,81.16,10,0,9.17,clear sky
166,Hermanus,ZA,-34.4187,19.2345,62.8,82,48,10.47,scattered clouds
167,Tasiilaq,GL,65.6145,-37.6368,15.8,63,22,6.53,few clouds
168,Khatanga,RU,71.9667,102.5,-3.51,100,95,2.46,overcast clouds
